CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Tear Gas,,,,,,,,,,
Salt Lake City,600 South; Salt Lake City-County Building,,UT,US,2020-07-03,,,,,,,Rally for Change; general protesters,Black Lives Matter,1,march; protest,0,0,0,0,1,1,https://www.deseret.com/utah/2020/7/3/21313118/black-lives-matter-demonstrators-rally-for-change-through-music-and-dance,,,,0,,,,,,,,,,
San Francisco,Salesforce Tower,,CA,US,2020-07-03,,,,,,,general protestors,antiracism; seek Black representation in STEM,1,protest,,,,,1,1,https://www.instagram.com/p/CCKuizmBmI1/,,,,,,,,,,,,,,
San Francisco,Portrero del Sol Skate Park,,CA,US,2020-07-03,,,,,,,Bay Area performers,antiracism; against police brutality,1,noise show,,,,,1,1,https://sf.funcheap.com/fk-noise-black-lives-matter-protest/,,,,,,,,,,,,,,
San Rafael,Marin County Jail,,CA,US,2020-07-03,more than 100,100,,100,,,general protestors,antiracism; release prisoners; defund the police,1,protest,0,0,0,0,1,1,https://www.instagram.com/p/CCAnygqhKxk/,https://www.marinij.com/2020/07/03/marin-rally-calls-for-defunding-county-sheriff/,https://www.ktvu.com/news/protesters-rally-outside-marin-county-jail-demand-sheriff-stop-cooperating-with-ice,,0,,,,,,,,,,
Santa Clara,"Adrian Wilcox HS theatre, Central Park",,CA,US,2020-07-03,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CB9j0PNBcm3/,,,,,,,,,,,,,,
Santa Clarita,in front of Santa Clarita Valley Sheriff's Station,,CA,US,2020-07-03,more than 200,200,,200,,,general protesters,pro-police; Blue Lives Matter support for law enforcement,2,rally,0,0,0,0,1,1,https://signalscv.com/2020/07/pro-police-rally-held-in-front-of-scv-sheriffs-station/,,,,1,,,,,,,,,,
Texarkana,"House of Refuge parking lot, 1707 W. Sixth St",,TX,US,2020-07-03,,,,,,,general protestors,antiracism; against police brutality,1,rally,,,,,1,1,https://www.newsbreak.com/news/1592788779408/greater-texarkana-branch-naacp-to-host-rally-where-do-we-go-from-here,,,,,,,,,,,,,,
Alameda,Washington Park to City Hall,,CA,US,2020-07-04,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CCHHhRiBAZF/,,,,,,,,,,,,,,
Albuquerque,Civic Plaza,,NM,US,2020-07-04,about a dozen,12,,12,,,Trump supporters,celebrate the Fourth of July; pro-Trump,2,protest,0,0,0,0,1,1,https://www.krqe.com/news/albuquerque-metro/pro-trump-rally-held-in-civic-plaza-saturday/,,,,0,,,,,,,,,,
Asheville,mayor's house,,NC,US,2020-07-04,,,,,,,general protesters,against police violence toward BLM protesters,1,protest,,,,,1,1,https://www.citizen-times.com/story/news/local/2020/07/07/sign-garbage-left-mayors-house-wake-protests-medic-tent-destruction/5386690002/,,,,,,,,,,,,,,
Atlanta,Georgia State Patrol headquarters,,GA,US,2020-07-04,several dozen,60,,60,,,general protesters,antiracism; against police brutality,1,protest,,,,1,1,1,https://www.news4jax.com/news/georgia/2020/07/06/georgia-state-patrol-headquarters-vandalized-during-protest/,,,,,,,,,,,,,,
Atlantic City,Atlantic City Expressway,,NJ,US,2020-07-04,count pic,100,,200,,,general protesters,against racial injustice,1,protest,7,0,0,0,1,1,http://newjersey.news12.com/story/42327657/police-protest-against-racial-injustice-held-in-atlantic-city-7-demonstrators-arrested,,,"arrests were made when protesters blocked an expressway, according to police",,,,,,,,,,,
Austin,virtual,,TX,US,2020-07-04,,,,,,,Austin Justice Coalition; General protesters,antiracism; against police brutality; call for change; fight for justice,1,virtual rally,0,0,0,0,1,1,https://www.kvue.com/article/news/local/austin-justice-coalition-holds-virtual-rally-against-police-brutality/269-7174705e-9b65-4986-9f58-1c6c4cbdddef,,,,0,,,,,,,,,,
Baltimore,Inner Harbor,,MD,US,2020-07-04,,,,,,,general protesters,"for defunding police, for reparations for Black people, for housing the homeless, for reassessing public education, for removing all statues honoring white supremacists and colonizers",1,protest,,,,1,1,1,https://www.baltimoresun.com/maryland/baltimore-city/bs-md-ci-columbus-statue-20200705-xc4bhthfhjaflifz72org2lrhy-story.html,https://www.baltimoresun.com/maryland/baltimore-city/bs-md-ci-baltimore-columbus-statue-recovered-20200706-jnduomcuorb2jhdqborvqaco4a-story.html,https://www.pinalcentral.com/columbus-statue-toppled-by-protesters-in-baltimore/video_8487c3f9-2dcc-51ff-aaee-a1bbdf9324a4.html,Christopher Columbus statue was torn down and tossed into the water at the harbor,,,,,,,,,,,
Bellingham,Waypoint Park,,WA,US,2020-07-04,,,,,,,StandSpeakListen,antiracism; against police brutality,1,protest,,,,,1,1,https://www.bellinghamherald.com/news/local/article243932367.html,,,,,,,,,,,,,,
Bethlehem,Bethlehem intersection,,NY,US,2020-07-04,,,,,,,protesters in support of police,"""We Support Bethlehem Police;"" support for police; Back the Blue/Support the Police",2,protest,0,0,0,0,1,1,https://www.timesunion.com/news/article/Tense-moments-at-competing-rallies-at-Bethlehem-15386199.php,,,,0,,,,,,,,,,
Bethlehem,Bethlehem intersection,,NY,US,2020-07-04,,,,,,,BLM protesters; high school students,Black Lives Matter; antiracism; against police brutality; Justice for George Floyd,1,protest,0,0,0,0,1,1,https://www.timesunion.com/news/article/Tense-moments-at-competing-rallies-at-Bethlehem-15386199.php,,,,0,,,,,,,,,,
Boston,streets of Boston,,MA,US,2020-07-04,more than a thousand,1000,,1000,,,general protesters,honor Black women; Say Her Name March & Rally; against police brutality,1,protest,0,0,0,0,1,1,https://www.bostonglobe.com/2020/07/04/metro/more-than-1000-gather-boston-celebration-black-women-march-rally/,https://www.bostonherald.com/2020/07/04/say-her-name-boston-black-lives-matter-protesters-recognize-women-lost-to-violence/,,,0,,,,,,,,,,
Boston,Boston Common,,MA,US,2020-07-04,hundreds,200,,900,,,general protesters,"against police violence, against racism, for defunding the police",1,march,,,,,1,1,https://www.minotdailynews.com/wire/?category=5663&ID=116098,,,,,,,,,,,,,,
Burlington,outside City Hall,,VT,US,2020-07-04,,,,,,,People for Peace and Security and the Black Perspective,"""to protest the deployment of F-35s, and police violence""",1,protest,0,0,0,0,1,1,https://www.mynbc5.com/article/vermonters-celebrate-rally-during-july-fourth/33178256#,,,,0,,,,,,,,,,
Burlington,in front of the statehouse,,VT,US,2020-07-04,dozens,24,,24,,,general protesters,"celebrate the Fourth of July; disappointment about pandemic and ""people trying to destroy our country""",2,protest,0,0,0,0,1,1,https://www.mynbc5.com/article/vermonters-celebrate-rally-during-july-fourth/33178256#,,,,0,,,,,,,,,,
Burlington,Battery Park,,VT,US,2020-07-04,"more than 1,000",1001,,,,,The Black Perspective; The Black Men Alliance; People for Peace and Security: Cancel the F-35,"against systemic racism and Black oppression in America, against basing fighter jets in South Burlington",1,march; rally; open forum,,,,,1,1,https://vtdigger.org/2020/07/05/1000-plus-rally-against-racism-july-4/?is_wppwa=true&wpappninja_cache=friendly,,,,,,,,,,,,,,
Chicago,Chicago police headquarters to Dyett High School,,IL,US,2020-07-04,,,,,,,Journey for Justice Alliance,"""Equity or Else;"" ""calling for structural changes to better the lives of African Americans""",1,protest,0,0,0,0,1,1,https://wgntv.com/news/chicago-news/equity-or-else-protest-set-for-saturday-to-start-at-chicago-police-hq/,,,,0,,,,,,,,,,
Chicago,Kenmore and Leland,Cook,IL,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.facebook.com/events/262920964988488,,,,,,,,,,,,,,
Chicago,South Chicago Commercial Ave,Cook,IL,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,https://www.facebook.com/events/694518151328566/,,,,,,,,,,,,,,
Cleveland,Luke Easter Park; BLM mural,,OH,US,2020-07-04,hundreds,200,,200,,,Black Lives Matter Cleveland; general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.mtshastanews.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,https://www.news5cleveland.com/news/local-news/cleveland-metro/black-lives-matter-cleveland-holds-rally-to-defund-police,https://www.cleveland.com/metro/2020/07/black-lives-matter-cleveland-holds-rally-to-defund-police-push-petitions-to-de-militarize-police.html,,0,,,,,,,,,,
Cobleskill,Centre Park,,NY,US,2020-07-04,,,,,,,general protesters,celebrate independece; antiracism; against police brutality,1,protest; celebration,0,0,0,0,1,1,https://www.timesjournalonline.com/article.asp?id=105093,,,,,,,,,,,,,,
Collingdale,Collingdale Community Center,Delaware,PA,US,2020-07-04,count pic,50,,50,,,general protesters,"for racial justice, for changes to the justice system",1,march,,,,,1,1,https://www.delcotimes.com/news/local/black-lives-matters-protesters-exercise-their-constitutional-rights-on-july-4th/article_a00aee24-be3d-11ea-b122-fb3845c8b3f2.html,,,,,,,,,,,,,,
Cumming ,Forsyth County Courthouse,,GA,US,2020-07-04,,,,,,,general protesters,Black Lives Matter,1,protest,0,0,0,0,1,1,https://www.timesdaily.com/news/nation/shoals-native-speaks-at-historic-protest/article_473e06d9-21be-5408-a4ae-b807916b9e7c.html,,,,0,,,,,,,,,,
Dallas,Dallas City Hall,,TX,US,2020-07-04,200 to 250,200,,250,,,Not My Son,against racism,1,march,,,,,1,1,https://www.dmagazine.com/frontburner/2020/07/after-nearly-50-days-of-sustained-protests-the-call-for-justice-continues/,,,Independence for Who?,,,,,,,,,,,
Dallas,Reverchon Park,,TX,US,2020-07-04,,,,,,,general protesters,"against racism, against prejudice toward transgender people",1,vigil,,,,,0,1,https://www.dmagazine.com/frontburner/2020/07/after-nearly-50-days-of-sustained-protests-the-call-for-justice-continues/,,,Independence for Who?,,,,,,,,,,,
Dalles,Post Office,,OR,US,2020-07-04,,,,,,,general protesters,BLM; antiracism,1,rally,0,0,0,0,1,1,https://www.columbiagorgenews.com/gorge-life/black-lives-matter-rallies-planned/article_d5bbc1da-bbde-11ea-953b-afb87ae2677a.html,,,,,,,,,,,,,,
Danville,Library,,CA,US,2020-07-04,,,,,,,Black Lives Matter,antiracism; seek racial justice,1,protest,,,,,1,1,https://www.instagram.com/p/CCAnmb8BAMR/,,,,,,,,,,,,,,
DeKalb,1027 W. Hillcrest Drive,,IL,US,2020-07-04,,,,,,,DeKalb Black Lives Matter; general protestors,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.daily-chronicle.com/2020/07/02/black-lives-matter-unity-march-set-for-the-fourth-of-july/as86gk8/,https://www.daily-chronicle.com/2020/07/04/black-lives-matter-unity-march-brings-groups-together-in-dekalb-on-independence-day/a33r6bt/,,,0,,,,,,,,,,
Detroit,Detroit Police Department 4th precinct,,MI,US,2020-07-04,,,,,,,general protesters,Mindful Movement yoga peaceful protest,1,protest,0,0,0,0,1,1,https://www.freep.com/picture-gallery/news/local/michigan/detroit/2020/07/04/mindful-moment-yoga-peaceful-protest/5377047002/,,,,0,,,,,,,,,,
Detroit,,,MI,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.mtshastanews.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,,,,,,,,,,,,,,
Elizabethton,Covered Bridge Park,,TN,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.wate.com/news/racist-remarks-go-viral-after-black-lives-matter-protest-in-elizabethton/,,,,,,,,,,,,,,
Fairfield,Fairfield Courthouse,,CA,US,2020-07-04,,,,,,,general protestors,antiracism; anti 4th of July,1,protest,,,,,1,1,https://www.instagram.com/p/CCDAbkZBFu0/,,,,,,,,,,,,,,
Fresno,Fresno City Hall,,CA,US,2020-07-04,approximately 150,150,,150,,,general protesters,"""demanding justice for Vanessa Guillen""",1,protest; march,0,0,0,0,1,1,https://www.fresnobee.com/news/local/article244007242.html,,,,0,,,,,,,,,,
Gettysburg,,,PA,US,2020-07-04,,,,,,,patriot,"unclear; ""reported shouting match between one of the patriots and a man wearing a Black Lives Matter T-shirt""",2,protest,0,0,0,0,1,1,https://www.ldnews.com/story/news/2020/07/04/gettysburg-4th-guns-and-political-rhetoric-but-no-antifa/5374621002/,https://www.newsitem.com/news/authorities-prepared-for-potential-gettysburg-protest/article_258711e1-fa97-5b99-adc2-057dc491a879.html,,,0,,,,,,,,,,
Gettysburg,,,PA,US,2020-07-04,around half a dozen,6,,6,,,general protesters,Black Lives Matter,1,protest,0,0,0,0,1,1,https://www.ldnews.com/story/news/2020/07/04/gettysburg-4th-guns-and-political-rhetoric-but-no-antifa/5374621002/,https://www.newsitem.com/news/authorities-prepared-for-potential-gettysburg-protest/article_258711e1-fa97-5b99-adc2-057dc491a879.html,,,0,,,,,,,,,,
Grand Junction,Sherwood Drive,,CO,US,2020-07-04,more than 150,150,,150,,,Stand For The Constitution; general protesters,rally for conservative ideals,2,rally,0,0,0,0,1,1,https://www.gjsentinel.com/news/western_colorado/parade-july-4-rally-hosted-by-local-organization/article_573ed808-be2f-11ea-8e6a-0f1cecf06b61.html,,,,0,,,,,,,,,,
Honolulu,,,HI,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.mtshastanews.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,,,,,,,,,,,,,,
Houston,Discovery Green to City Hall,,TX,US,2020-07-04,thousands,2000,,2000,,,general protesters,justice for Vanessa Guillen,1,protest,0,0,0,0,1,1,https://www.khou.com/article/news/crime/family-supporters-to-march-to-city-hall-saturday/285-f6aa4cf1-10f1-4438-80ec-01ae8e8f40b4,,,,0,,,,,,,,,,
Houston,,,TX,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.mtshastanews.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,,,,,,,,,,,,,,
Iowa City,202 N Linn St,,IA,US,2020-07-04,roughly 100,100,,100,,,Iowa Freedom Riders,"against police violence, for racial diversity",1,march,,,,,1,1,https://www.press-citizen.com/story/news/2020/07/05/iowa-city-protesters-celebrate-new-robert-moore-market-house-mural/5378230002/,,,,,,,,,,,,,,
Jacksonville,outside Walmart; also went to Sherwood,Pulaski,AR,US,2020-07-04,several dozen,36,,36,,,general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.arkansasonline.com/news/2020/jul/05/jacksonville-walmart-closes-after-protest/,,,,0,,,,,,,,,,
Kansas City,,,MO,US,2020-07-04,several hundred,300,,500,,,general protesters,"against police brutality, against racial injustice",1,protest,,,,,1,1,https://www.thepitchkc.com/july-4th-police-protest-echoes-the-spirit-of-resistance-which-founded-america/,,,,,,,,,,,,,,
Keene,Central Square,,NH,US,2020-07-04,about 50 or 60 people,50,,60,,,STAND NH,against racism,1,rally,,,,,1,1,https://www.sentinelsource.com/news/local/dozens-of-rally-goers-gather-in-central-square-on-independence-day/article_ba39491c-4231-51a8-9296-fd679ad06ae1.html,,,,,,,,,,,,,,
Kingston,,,CA,US,2020-07-04,,,,,,,Occupy Peace; general protesters,Unite for Peace and to Restore Freedom,1,rally,0,0,0,0,1,1,https://www.recordonline.com/picture-gallery/news/2020/07/04/occupy-peace-held-unite-peace-and-restore-freedom-rally-july-4-kingston/5377469002/,,,,0,,,,,,,,,,
Lake Oswego,Westlake Park,,OR,US,2020-07-04,,,,,,,Community Creating Unity PDX,antiracism; against police brutality,1,protest,,,,,1,1,https://pamplinmedia.com/lor/48-news/472198-381896-community-creating-unity-pdx-brings-march-to-lake-oswego-,,,,,,,,,,,,,,
Los Angeles,,,CA,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.mtshastanews.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,,,,,,,,,,,,,,
Lynn,Manning Field to Wyoma Square,,CT,US,2020-07-04,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.itemlive.com/2020/07/01/another-protest-planned-for-lynn/,,,,,,,,,,,,,,
Lynn,Wyoma Square,,MA,US,2020-07-04,more than 150,150,,175,,,general protesters,"against systemic racism, for police reform",1,march; occupation,,,,,1,1,https://www.itemlive.com/2020/07/05/this-is-a-movement-lynn-protesters-call-for-end-to-police-brutality-systemic-racism/,,,,,,,,,,,,,,
Manhattan,,,KS,US,2020-07-04,about 100,100,,100,,,students; general protesters,"for racial justice, against insensitive tweet by Kansas State University Student",1,rally,,,,,1,1,https://www.newstribune.com/news/national/story/2020/jul/06/some-k-state-athletes-protest-over-students-floyd-tweet/833336/,,,,,,,,,,,,,,
Memphis,"East Memphis, outside the home of Dist. Atty. Amy Weirich",Shelby,TN,US,2020-07-04,about 40,40,,40,,,general protesters,"calling for firing of District Attorney Amy Weinreich, releasing jail detainees during the COVID-19 pandemic, supporting Black Lives Matter",1,car caravan; street blockade,,,,,1,1,https://dailymemphian.com/article/15281/amy-weirich-protesters-east-memphis-home,,,"protesters burned flags and set off fireworks; police arrived but made no arrests, and crowd dispersed",,,,,,,,,,,
Milwaukee,Sherman Park,,WI,US,2020-07-04,,,,,,,mothers; community activists,antiracism; police reform; calling for police to do more; for policing to improve; more protection for kids,1,protest; march,0,0,0,0,1,1,https://fox6now.com/2020/07/04/our-voices-matter-mothers-of-gun-violence-victims-march-in-milwaukee/,,,,0,,,,,,,,,,
Minneapolis,stadium plaza; downtown Minneapolis,,MN,US,2020-07-04,thousands,2000,,2000,,,general protesters,antiracism; against police brutality,1,protest; rally,0,0,0,0,1,1,https://www.startribune.com/minneapolis-july-4th-protesters-say-they-re-marching-for-justice-for-all/571630762/,,,,0,,,,,,,,,,
Mishiwaka,Main Street Bridge,,IN,US,2020-07-04,,,,,,,"Be Better, Do Better",antiracism; against police brutality,1,protest,,1,,,1,1,https://www.wdrb.com/news/suv-drives-through-protest-in-northern-indiana/article_ae892e4c-bfe2-11ea-a769-4ffa695bf87a.html,,,injury occurred when someone deliberately drove an SUV into the crowd of protesters,,,,,,,,,,,
Moscow,East City Park,,ID,US,2020-07-04,about 100,100,,100,,,general protesters,"for racial justice, against police brutality",1,march,,,,,1,1,https://dnews.com/local/fireworks-flags-and-protest/article_f91aadad-9951-51b2-bc82-0c7ca7bca374.html,,,,,,,,,,,,,,
Napa,Veteran's Park to Oxbow Commons,,CA,US,2020-07-04,,,,,,,general protestors,antiracism; seek racial justice,1,protest,,,,,1,1,https://www.instagram.com/p/CCIatpFhUeC/,,,,,,,,,,,,,,
Nashville,Legislative Plaza,,TN,US,2020-07-04,,,,,,,general protestors,"against racism, for removal of police chief, for defunding police, for demilitarizing police, for removal of Confederate statues",1,occupation,0,0,0,0,1,1,https://www.nashvillescene.com/news/pith-in-the-wind/article/21143995/a-look-back-on-the-peoples-plaza-protest,,,,,,,,,,,,,,
Nashville,Bicentennial Capitol Mall State Park to Legislative Plaza,Davidson,TN,US,2020-07-04,thousands,2000,,2000,,,Teens for Equality,"against racism, for defunding police, for abolishing ICE, for ending Muslim travel ban, against attacks on Asian Americans during coronavirus pandemic, for LGBTQ+ rights, for native peoples' rights",1,protest,55,0,0,0,0,1,https://fox17.com/news/local/thousands-of-blm-protesters-march-in-nashville-on-fourth-of-july,https://www.nashvillescene.com/news/pith-in-the-wind/article/21139234/thousands-march-for-black-lives-in-fourth-of-july-protest,,,0,,,,,,,,,,
New York,Manhattan; Columbus Circle,New York,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Union Sq,New York,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Thomas Jefferson Park,New York,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Washington Sq,New York,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,vigil,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Carl Schurz Park,New York,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,vigil,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Queens; Lefferts Blvd,Queens,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Queens; 111-12 Sutphin Blvd,Queens,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Bronx; 138th St and Alexander Ave,Bronx,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,vigil,,,,,1,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Bronx; Poe Park,Bronx,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; Cadman Plaza,Kings,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; Maria Hernandez Park,Kings,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; Washington and Plymouth,Kings,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,vigil,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; 1507 St Johns Pl.,Kings,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; 614 40th ST,Kings,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; 283 Albany Ave,Kings,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; 846 Prospect St,Kings,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Brooklyn; Maria Hernandez Park,Kings,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,vigil,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Washington Sq,New York,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
New York,Manhattan; Marcus Garvey Park,New York,NY,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,0,1,justiceforgeorgenyc Instagram,,,,,,,,,,,,,,
Newark,Essex County Historic Courthouse,,NJ,US,2020-07-04,,,,,,,Young Professionals for Justice; general protesters,antiracism; against police brutality,1,protest,0,0,0,0,1,1,https://www.mtshastanews.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,https://www.nj.com/essex/2020/07/these-demonstrators-dont-want-to-celebrate-july-4-because-black-people-are-still-not-free-today.html,,,0,,,,,,,,,,
Novato,Delong Overpass,,CA,US,2020-07-04,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CCNlJ7WBXAh/,,,,,,,,,,,,,,
Oakland,Lake Merritt,,CA,US,2020-07-04,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CCKuizmBmI1/,,,,,,,,,,,,,,
Oakland,Mosswood Park,,CA,US,2020-07-04,,,,,,,general protestors,antiracism; against police brutality,1,march,,,,,1,1,https://www.instagram.com/p/CCAp158B8JV/,,,,,,,,,,,,,,
Oakland,Oscar Grant Plaza,,CA,US,2020-07-04,,,,,,,YAY Area Revolution,antiracism; against police brutality,1,protest,,,,,0,1,https://www.instagram.com/p/CCGhPnCBl0A/,,,,,,,,,,,,,,
Oakland,Lake Merritt,,CA,US,2020-07-04,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,0,1,https://sf.funcheap.com/4th-july-blackout-solidarity-protest/,,,,,,,,,,,,,,
Oakland,Tribune Tower,,CA,US,2020-07-04,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,0,1,https://www.instagram.com/p/CCFwkNaBRtk/,,,,,,,,,,,,,,
Orlando,,,FL,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.mtshastanews.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,,,,,,,,,,,,,,
Philadelphia,Independence Hall,,PA,US,2020-07-04,hundreds,200,,200,,,general protesters,"""calling attention to violence against trans people locally and nationally;"" uplift Black Trans lives",1,march,0,0,0,0,1,1,https://philadelphia.cbslocal.com/2020/07/04/trump-pence-out-black-trans-lives-matter-protest-philadelphia-july-4th/,,,,0,,,,,,,,,,
Philadelphia,Dilworth Park to Independence Hall,,PA,US,2020-07-04,hundreds,200,,200,,,Refuse Facism,end to Trump/Pence administration,1,protest; march,0,0,0,0,1,1,https://philadelphia.cbslocal.com/2020/07/04/trump-pence-out-black-trans-lives-matter-protest-philadelphia-july-4th/,,,,0,,,,,,,,,,
Philadelphia,,,PA,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.mtshastanews.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,,,,,,,,,,,,,,
Pittsburgh,riverwalk,,PA,US,2020-07-04,,,,,,,anti-Trump protesters,Black Lives Matter; anti-Trump,1,protest,0,0,0,0,1,1,https://www.kiro7.com/news/trending/trump-supporters-protesters-clash-during-pittsburgh-boat-parade/D3ZA6NZMVBEQXARW3LATDEMCMM/,,,,0,,,,,,,,,,
Pittsburgh,Monogahela River toward Hot Metal Bridge,,PA,US,2020-07-04,hundreds of boats,200,,200,,,Trump supporters,in support of President Donald Trump,2,boat parade,0,0,0,0,1,1,https://www.kiro7.com/news/trending/trump-supporters-protesters-clash-during-pittsburgh-boat-parade/D3ZA6NZMVBEQXARW3LATDEMCMM/,,,,0,,,,,,,,,,
Pittsburgh,,,PA,US,2020-07-04,,,,,,,general protesters,antiracism; against police brutality,1,protest,,,,,1,1,https://www.mtshastanews.com/zz/news/20200704/we-refuse-to-celebrate-july-4th-protesters-say-not-all-americans-are-free,,,,,,,,,,,,,,
Point Reyes,Whitehouse Pool Parking Lot,,CA,US,2020-07-04,,,,,,,general protestors,antiracism; against police brutality,1,protest,,,,,1,1,https://www.instagram.com/p/CCDBb5UBtKH/,,,,,,,,,,,,,,
Portage,outside The Crossroads mall,,MI,US,2020-07-04,article explains hundreds of bottles of water were passed around,100,,200,,,general protesters,"""Juneteenth in July (July 4th Blackout);"" ""bring awareness to racial injustices and inequalities""",1,protest,0,0,0,0,1,1,https://www.mlive.com/news/kalamazoo/2020/07/protesters-march-down-westnedge-avenue-for-july-4th-blackout-in-portage.html,,,,0,,,,,,,,,,
